settlement_date,settlement_period,england_wales_generation_mwh,b1610_rows_used,bmu_count_used,england_wales_generation_mw
2023-01-03,23,557.806,307,307,1115.612
2023-01-03,24,560.6859999999999,307,307,1121.3719999999998
2023-01-03,25,577.6669999999999,307,307,1155.3339999999998
2023-01-03,26,592.1430000000001,307,307,1184.2860000000003
2023-01-03,27,584.7280000000001,307,307,1169.4560000000001
2023-01-03,28,581.885,307,307,1163.77
2023-01-03,29,585.903,307,307,1171.806
2023-01-03,30,581.066,307,307,1162.132
2023-01-03,31,585.3069999999999,307,307,1170.6139999999998
2023-01-03,32,585.932,307,307,1171.864
2023-01-03,33,696.571,307,307,1393.142
2023-01-03,34,780.769,307,307,1561.538
2023-01-03,35,769.288,307,307,1538.576
2023-01-03,36,736.457,307,307,1472.914
2023-01-03,37,661.518,307,307,1323.036
2023-01-03,38,596.818,307,307,1193.636
2023-01-03,39,487.084,307,307,974.168
2023-01-03,40,363.41200000000003,307,307,726.8240000000001
2023-01-03,41,388.324,307,307,776.648
2023-01-03,42,372.74399999999997,307,307,745.4879999999999
2023-01-03,43,369.05,307,307,738.1
2023-01-03,44,340.512,307,307,681.024
2023-01-03,45,338.292,307,307,676.584
2023-01-03,46,379.196,307,307,758.392
2023-01-03,47,364.82,307,307,729.64
2023-01-03,48,341.114,307,307,682.228
2023-01-04,1,354.08799999999997,307,307,708.1759999999999
2023-01-04,2,357.197,307,307,714.394
2023-01-04,3,379.455,307,307,758.91
2023-01-04,4,353.401,307,307,706.802
2023-01-04,5,357.328,307,307,714.656
2023-01-04,6,366.057,307,307,732.114
2023-01-04,7,363.956,307,307,727.912
2023-01-04,8,363.317,307,307,726.634
2023-01-04,9,341.88300000000004,307,307,683.7660000000001
2023-01-04,10,337.656,307,307,675.312
2023-01-04,11,348.54400000000004,307,307,697.0880000000001
2023-01-04,12,350.717,307,307,701.434
2023-01-04,13,341.047,307,307,682.094
2023-01-04,14,353.396,307,307,706.792
2023-01-04,15,329.647,307,307,659.294
2023-01-04,16,335.051,307,307,670.102
2023-01-04,17,317.484,307,307,634.968
2023-01-04,18,316.69100000000003,307,307,633.3820000000001
2023-01-04,19,317.463,307,307,634.926
2023-01-04,20,316.423,307,307,632.846
2023-01-04,21,309.223,307,307,618.446
2023-01-04,22,313.33000000000004,307,307,626.6600000000001
2023-01-04,23,306.197,307,307,612.394
2023-01-04,24,326.382,307,307,652.764
2023-01-04,25,343.394,307,307,686.788
2023-01-04,26,386.376,307,307,772.752
2023-01-04,27,383.178,307,307,766.356
2023-01-04,28,393.359,307,307,786.718
2023-01-04,29,422.73400000000004,307,307,845.4680000000001
2023-01-04,30,426.887,307,307,853.774
2023-01-04,31,492.66,307,307,985.32
2023-01-04,32,586.439,307,307,1172.878
2023-01-04,33,734.553,307,307,1469.106
2023-01-04,34,812.916,307,307,1625.832
2023-01-04,35,928.718,307,307,1857.436
2023-01-04,36,1019.854,307,307,2039.708
2023-01-04,37,988.27,307,307,1976.54
2023-01-04,38,826.7890000000001,307,307,1653.5780000000002
2023-01-04,39,776.5129999999999,307,307,1553.0259999999998
2023-01-04,40,680.22,307,307,1360.44
2023-01-04,41,737.272,307,307,1474.544
2023-01-04,42,649.696,307,307,1299.392
2023-01-04,43,551.877,307,307,1103.754
2023-01-04,44,440.199,307,307,880.398
2023-01-04,45,415.40799999999996,307,307,830.8159999999999
2023-01-04,46,438.055,307,307,876.11
2023-01-04,47,458.978,307,307,917.956
2023-01-04,48,424.047,307,307,848.094
2023-01-05,1,431.749,307,307,863.498
2023-01-05,2,460.373,307,307,920.746
2023-01-05,3,416.039,307,307,832.078
2023-01-05,4,445.74,307,307,891.48
2023-01-05,5,429.95099999999996,307,307,859.9019999999999
2023-01-05,6,425.979,307,307,851.958
2023-01-05,7,443.901,307,307,887.802
2023-01-05,8,397.437,307,307,794.874
2023-01-05,9,444.841,307,307,889.682
2023-01-05,10,472.186,307,307,944.372
2023-01-05,11,438.423,307,307,876.846
2023-01-05,12,441.522,307,307,883.044
2023-01-05,13,367.044,307,307,734.088
2023-01-05,14,465.012,307,307,930.024
2023-01-05,15,559.933,307,307,1119.866
2023-01-05,16,621.5079999999999,307,307,1243.0159999999998
2023-01-05,17,626.211,307,307,1252.422
2023-01-05,18,634.7280000000001,307,307,1269.4560000000001
2023-01-05,19,677.142,307,307,1354.284
2023-01-05,20,715.442,307,307,1430.884
2023-01-05,21,709.822,307,307,1419.644
2023-01-05,22,671.951,307,307,1343.902
2023-01-05,23,649.822,307,307,1299.644
2023-01-05,24,644.3720000000001,307,307,1288.7440000000001
2023-01-05,25,674.2669999999999,307,307,1348.5339999999999
2023-01-05,26,592.358,307,307,1184.716
2023-01-05,27,675.9649999999999,307,307,1351.9299999999998
2023-01-05,28,580.9590000000001,307,307,1161.9180000000001
2023-01-05,29,587.789,307,307,1175.578
2023-01-05,30,571.699,307,307,1143.398
2023-01-05,31,590.697,307,307,1181.394
2023-01-05,32,541.932,307,307,1083.864
2023-01-05,33,639.448,307,307,1278.896
2023-01-05,34,736.072,307,307,1472.144
2023-01-05,35,802.173,307,307,1604.346
2023-01-05,36,754.138,307,307,1508.276
2023-01-05,37,763.975,307,307,1527.95
2023-01-05,38,762.05,307,307,1524.1
2023-01-05,39,605.553,307,307,1211.106
2023-01-05,40,524.58,307,307,1049.16
2023-01-05,41,502.309,307,307,1004.618
2023-01-05,42,517.351,307,307,1034.702
2023-01-05,43,483.175,307,307,966.35
2023-01-05,44,469.519,307,307,939.038
2023-01-05,45,515.986,307,307,1031.972
2023-01-05,46,438.104,307,307,876.208
2023-01-05,47,440.564,307,307,881.128
2023-01-05,48,444.927,307,307,889.854
2023-01-06,1,429.10400000000004,307,307,858.2080000000001
2023-01-06,2,470.723,307,307,941.446
2023-01-06,3,428.985,307,307,857.97
2023-01-06,4,382.10499999999996,307,307,764.2099999999999
2023-01-06,5,418.847,307,307,837.694
2023-01-06,6,421.45799999999997,307,307,842.9159999999999
2023-01-06,7,449.615,307,307,899.23
2023-01-06,8,413.75800000000004,307,307,827.5160000000001
2023-01-06,9,429.155,307,307,858.31
2023-01-06,10,444.175,307,307,888.35
2023-01-06,11,420.02,307,307,840.04
2023-01-06,12,449.39,307,307,898.78
2023-01-06,13,471.559,307,307,943.118
2023-01-06,14,481.097,307,307,962.194
2023-01-06,15,459.694,307,307,919.388
2023-01-06,16,440.278,307,307,880.556
2023-01-06,17,475.696,307,307,951.392
2023-01-06,18,435.681,307,307,871.362
2023-01-06,19,379.171,307,307,758.342
2023-01-06,20,356.13800000000003,307,307,712.2760000000001
2023-01-06,21,349.392,307,307,698.784
2023-01-06,22,354.558,307,307,709.116
2023-01-06,23,348.382,307,307,696.764
2023-01-06,24,352.188,307,307,704.376
2023-01-06,25,344.796,307,307,689.592
2023-01-06,26,369.74,307,307,739.48
2023-01-06,27,391.90299999999996,307,307,783.8059999999999
2023-01-06,28,385.812,307,307,771.624
2023-01-06,29,360.93199999999996,307,307,721.8639999999999
2023-01-06,30,425.981,307,307,851.962
2023-01-06,31,353.358,307,307,706.716
2023-01-06,32,411.177,307,307,822.354
2023-01-06,33,548.165,307,307,1096.33
2023-01-06,34,675.859,307,307,1351.718
2023-01-06,35,722.5250000000001,307,307,1445.0500000000002
2023-01-06,36,699.393,307,307,1398.786
2023-01-06,37,630.752,307,307,1261.504
2023-01-06,38,537.9670000000001,307,307,1075.9340000000002
2023-01-06,39,448.577,307,307,897.154
2023-01-06,40,470.188,307,307,940.376
2023-01-06,41,450.246,307,307,900.492
2023-01-06,42,454.13300000000004,307,307,908.2660000000001
2023-01-06,43,494.25800000000004,307,307,988.5160000000001
2023-01-06,44,472.53599999999994,307,307,945.0719999999999
2023-01-06,45,516.598,307,307,1033.196
2023-01-06,46,472.80899999999997,307,307,945.6179999999999
2023-01-06,47,490.686,307,307,981.372
2023-01-06,48,462.585,307,307,925.17
2023-01-07,1,474.111,307,307,948.222
2023-01-07,2,456.15999999999997,307,307,912.3199999999999
2023-01-07,3,455.248,307,307,910.496
2023-01-07,4,453.43899999999996,307,307,906.8779999999999
2023-01-07,5,466.74600000000004,307,307,933.4920000000001
2023-01-07,6,457.21999999999997,307,307,914.4399999999999
2023-01-07,7,457.965,307,307,915.93
2023-01-07,8,467.064,307,307,934.128
2023-01-07,9,459.21200000000005,307,307,918.4240000000001
2023-01-07,10,471.327,307,307,942.654
2023-01-07,11,480.202,307,307,960.404
2023-01-07,12,469.48900000000003,307,307,938.9780000000001
2023-01-07,13,443.652,307,307,887.304
2023-01-07,14,395.569,307,307,791.138
2023-01-07,15,326.798,307,307,653.596
2023-01-07,16,378.726,307,307,757.452
2023-01-07,17,345.409,307,307,690.818
2023-01-07,18,381.883,307,307,763.766
2023-01-07,19,349.028,307,307,698.056
2023-01-07,20,383.09000000000003,307,307,766.1800000000001
2023-01-07,21,343.484,307,307,686.968
2023-01-07,22,360.3,307,307,720.6
2023-01-07,23,387.149,307,307,774.298
2023-01-07,24,376.304,307,307,752.608
2023-01-07,25,354.179,307,307,708.358
2023-01-07,26,341.025,307,307,682.05
2023-01-07,27,352.69100000000003,307,307,705.3820000000001
2023-01-07,28,345.773,307,307,691.546
2023-01-07,29,358.925,307,307,717.85
2023-01-07,30,334.412,307,307,668.824
2023-01-07,31,309.972,307,307,619.944
2023-01-07,32,295.436,307,307,590.872
2023-01-07,33,392.791,307,307,785.582
2023-01-07,34,508.87199999999996,307,307,1017.7439999999999
2023-01-07,35,525.624,307,307,1051.248
2023-01-07,36,456.10400000000004,307,307,912.2080000000001
2023-01-07,37,428.271,307,307,856.542
2023-01-07,38,378.664,307,307,757.328
2023-01-07,39,374.997,307,307,749.994
2023-01-07,40,351.259,307,307,702.518
2023-01-07,41,396.40500000000003,307,307,792.8100000000001
2023-01-07,42,358.223,307,307,716.446
2023-01-07,43,561.1279999999999,307,307,1122.2559999999999
2023-01-07,44,519.731,307,307,1039.462
2023-01-07,45,580.537,307,307,1161.074
2023-01-07,46,471.66499999999996,307,307,943.3299999999999
